2026-02-13 14:17:18,267 | INFO | Lendo Excel: /sapataria_app-main/SCRIPT_ETL/Online Codigos de Barras.xlsx | aba: Folha1
2026-02-13 14:17:24,814 | INFO | Lendo Excel: /sapataria_app-main/SCRIPT_ETL/Online Codigos de Barras.xlsx | aba: Folha1
2026-02-13 14:18:08,167 | INFO | Lendo Excel: c:\Users\Aloise pc\Documents\GitHub\appsapatariadjango\sapataria_app-main\SCRIPT_ETL\Online Codigos de Barras.xlsx | aba: Folha1
2026-02-13 14:19:06,878 | INFO | Lendo Excel: c:\Users\Aloise pc\Documents\GitHub\appsapatariadjango\sapataria_app-main\SCRIPT_ETL\Online Codigos de Barras.xlsx | aba: Folha1
2026-02-13 14:19:20,980 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:20,980 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921600277000', 'cor_id': -1, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:21,165 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:21,166 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603551000', 'cor_id': -1, 'tamanho_id': 1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:21,360 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:21,361 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921603568000', 'cor_id': -1, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:21,547 | INFO | DRY_RUN POST colors | params=None | json=[{'name': 'Preto e Creme'}]
2026-02-13 14:19:21,674 | INFO | DRY_RUN POST sizes | params=None | json=[{'value': '34.5'}]
2026-02-13 14:19:21,852 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:21,864 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921600376000', 'cor_id': -1, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:22,060 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:22,060 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921600291000', 'cor_id': -1, 'tamanho_id': 47, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:22,237 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:22,239 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921600284000', 'cor_id': -1, 'tamanho_id': -1, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:22,410 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
2026-02-13 14:19:22,410 | INFO | DRY_RUN POST product_variant?on_conflict=gtin | params=None | json=[{'model_id': -1, 'gtin': '15600921600307000', 'cor_id': -1, 'tamanho_id': 49, 'ref_woocomerce': None, 'ref_keyinvoice': 5731}]
2026-02-13 14:19:22,605 | INFO | DRY_RUN POST product_model | params=None | json=[{'ref': '5731', 'nome_modelo': 'HÉLIA', 'marca_id': -1, 'categoria_id': 6, 'subcategoria_id': 9, 'fornecedor_id': -1, 'wc_product_id': None}]
